data Alimento = Alimento {
  nome_alimento :: String,
  kcal :: Float,
  proteinas :: Float,
  gorduras :: Float,
  carboidratos :: Float
} deriving (Show)


id  name  category/id  category/name  nutrients/kcal  nutrients/protein  nutrients/lipids  nutrients/carbohydrates
114  Coentro, folhas desidratadas  2  Verduras, hortaliças e derivados  309  20.9  10.4  48
115  Couve, manteiga, crua  2  Verduras, hortaliças e derivados  27  2.9  0.5  4.3
116  Couve, manteiga, refogada  2  Verduras, hortaliças e derivados  90  1.7  6.6  8.7
117  Couve-flor, crua  2  Verduras, hortaliças e derivados  23  1.9  0.2  4.5
118  Couve-flor, cozida  2  Verduras, hortaliças e derivados  19  1.2  0.3  3.9
119  Espinafre, Nova Zelândia, cru  2  Verduras, hortaliças e derivados  16  2  0.2  2.6
120  Espinafre, Nova Zelândia, refogado  2  Verduras, hortaliças e derivados  67  2.7  5.4  4.2
121  Farinha, de mandioca, crua  2  Verduras, hortaliças e derivados  361  1.6  0.3  87.9
122  Farinha, de mandioca, torrada  2  Verduras, hortaliças e derivados  365  1.2  0.3  89.2
123  Farinha, de puba  2  Verduras, hortaliças e derivados  360  1.6  0.5  87.3
124  Fécula, de mandioca  2  Verduras, hortaliças e derivados  331  0.5  0.3  81.1
125  Feijão, broto, cru  2  Verduras, hortaliças e derivados  39  4.2  0.1  7.8
126  Inhame, cru  2  Verduras, hortaliças e derivados  97  2.1  0.2  23.2
127  Jiló, cru  2  Verduras, hortaliças e derivados  27  1.4  0.2  6.2
128  Jurubeba, crua  2  Verduras, hortaliças e derivados  126  4.4  3.9  23.1
129  Mandioca, cozida  2  Verduras, hortaliças e derivados  125  0.6  0.3  30.1
130  Mandioca, crua  2  Verduras, hortaliças e derivados  151  1.1  0.3  36.2
131  Mandioca, farofa, temperada  2  Verduras, hortaliças e derivados  406  2.1  9.1  80.3
132  Mandioca, frita  2  Verduras, hortaliças e derivados  300  1.4  11.2  50.3
133  Manjericão, cru  2  Verduras, hortaliças e derivados  21  2  0.4  3.6
134  Maxixe, cru  2  Verduras, hortaliças e derivados  14  1.4  0.1  2.7
135  Mostarda, folha, crua  2  Verduras, hortaliças e derivados  18  2.1  0.2  3.2
136  Nhoque, batata, cozido  2  Verduras, hortaliças e derivados  181  5.9  1.9  36.8
137  Nabo, cru  2  Verduras, hortaliças e derivados  18  1.2  0.1  4.1
138  Palmito, juçara, em conserva  2  Verduras, hortaliças e derivados  23  1.8  0.4  4.3
139  Palmito, pupunha, em conserva  2  Verduras, hortaliças e derivados  29  2.5  0.5  5.5
140  Pão, de queijo, assado  2  Verduras, hortaliças e derivados  363  5.1  24.6  34.2
141  Pão, de queijo, cru  2  Verduras, hortaliças e derivados  295  3.6  14  38.5
142  Pepino, cru  2  Verduras, hortaliças e derivados  10  0.9  0  2
143  Pimentão, amarelo, cru  2  Verduras, hortaliças e derivados  28  1.2  0.4  6
144  Pimentão, verde, cru  2  Verduras, hortaliças e derivados  21  1.1  0.2  4.9
145  Pimentão, vermelho, cru  2  Verduras, hortaliças e derivados  23  1  0.1  5.5
146  Polvilho, doce  2  Verduras, hortaliças e derivados  351  0.4  0  86.8
147  Quiabo, cru  2  Verduras, hortaliças e derivados  30  1.9  0.3  6.4
148  Rabanete, cru  2  Verduras, hortaliças e derivados  14  1.4  0.1  2.7
149  Repolho, branco, cru  2  Verduras, hortaliças e derivados  17  0.9  0.1  3.9
150  Repolho, roxo, cru  2  Verduras, hortaliças e derivados  31  1.9  0.1  7.2
151  Repolho, roxo, refogado  2  Verduras, hortaliças e derivados  42  1.8  1.2  7.6
152  Rúcula, crua  2  Verduras, hortaliças e derivados  13  1.8  0.1  2.2
153  Salsa, crua  2  Verduras, hortaliças e derivados  33  3.3  0.6  5.7
154  Seleta de legumes, enlatada  2  Verduras, hortaliças e derivados  57  3.4  0.4  12.7
155  Serralha, crua  2  Verduras, hortaliças e derivados  30  2.7  0.7  4.9
156  Taioba, crua  2  Verduras, hortaliças e derivados  34  2.9  0.9  5.4
157  Tomate, com semente, cru  2  Verduras, hortaliças e derivados  15  1.1  0.2  3.1
158  Tomate, extrato  2  Verduras, hortaliças e derivados  61  2.4  0.2  15
159  Tomate, molho industrializado  2  Verduras, hortaliças e derivados  38  1.4  0.9  7.7
160  Tomate, purê  2  Verduras, hortaliças e derivados  28  1.4  0  6.9
161  Tomate, salada  2  Verduras, hortaliças e derivados  21  0.8  0  5.1
162  Vagem, crua  2  Verduras, hortaliças e derivados  25  1.8  0.2  5.3
163  Abacate, cru  3  Frutas e derivados  96  1.2  8.4  6
164  Abacaxi, cru  3  Frutas e derivados  48  0.9  0.1  12.3
165  Abacaxi, polpa, congelada  3  Frutas e derivados  31  0.5  0.1  7.8
166  Abiu, cru  3  Frutas e derivados  62  0.8  0.7  14.9
167  Açaí, polpa, com xarope de guaraná e glucose  3  Frutas e derivados  110  0.7  3.7  21.5
168  Açaí, polpa, congelada  3  Frutas e derivados  58  0.8  3.9  6.2
169  Acerola, crua  3  Frutas e derivados  33  0.9  0.2  8
170  Acerola, polpa, congelada  3  Frutas e derivados  22  0.6  0  5.5
171  Ameixa, calda, enlatada  3  Frutas e derivados  183  0.4  0  46.9
172  Ameixa, crua  3  Frutas e derivados  53  0.8  0  13.9
